UniProtName_A	UniProtName_B
ADRB2_HUMAN	VDAC2_HUMAN
ADRB2_HUMAN	PHB_HUMAN
ADRB2_HUMAN	TBB5_HUMAN
ADRB2_HUMAN	EF1B_HUMAN
ADRB2_HUMAN	ROA2_HUMAN
ADRB2_HUMAN	HNRH1_HUMAN
ADRB2_HUMAN	IMB1_HUMAN
ADRB2_HUMAN	RLA1_HUMAN
ADRB2_HUMAN	MK14_HUMAN
ADRB2_HUMAN	TFR1_HUMAN
ADRB2_HUMAN	CD4_HUMAN
ADRB2_HUMAN	VDAC1_HUMAN
ADRB2_HUMAN	CD81_HUMAN
ADRB2_HUMAN	HGS_HUMAN
HS90A_HUMAN	HS90A_HUMAN
HS90A_HUMAN	LCK_HUMAN
HS90A_HUMAN	ZAP70_HUMAN
HS90A_HUMAN	HS90B_HUMAN
HS90A_HUMAN	HSP7C_HUMAN
HS90A_HUMAN	TBB5_HUMAN
HS90A_HUMAN	TERA_HUMAN
HS90A_HUMAN	ROA1_HUMAN
HS90A_HUMAN	NUCL_HUMAN
HS90A_HUMAN	RL7_HUMAN
HS90A_HUMAN	GNAI2_HUMAN
HS90A_HUMAN	G3P_HUMAN
HS90A_HUMAN	RLA0_HUMAN
HS90A_HUMAN	RSSA_HUMAN
HS90A_HUMAN	ATPA_HUMAN
HS90A_HUMAN	LPPRC_HUMAN
HS90A_HUMAN	VDAC2_HUMAN
MDR1_HUMAN	CD4_HUMAN
HS90B_HUMAN	RL7_HUMAN
HS90B_HUMAN	RLA0_HUMAN
HS90B_HUMAN	RSSA_HUMAN
HS90B_HUMAN	G3P_HUMAN
HS90B_HUMAN	GNAI2_HUMAN
HS90B_HUMAN	PHB_HUMAN
HS90B_HUMAN	LCK_HUMAN
HS90B_HUMAN	HS90B_HUMAN
HS90B_HUMAN	HSP7C_HUMAN
HS90B_HUMAN	TBB5_HUMAN
HS90B_HUMAN	RL40_HUMAN
HS90B_HUMAN	LPPRC_HUMAN
HS90B_HUMAN	VDAC2_HUMAN
NEP_HUMAN	HSP7C_HUMAN
NEP_HUMAN	TNPO1_HUMAN
NEP_HUMAN	VDAC2_HUMAN
NEP_HUMAN	RS10_HUMAN
NEP_HUMAN	CD81_HUMAN
NEP_HUMAN	ANXA6_HUMAN
NEP_HUMAN	NEP_HUMAN
PTPRC_HUMAN	PTPRC_HUMAN
PTPRC_HUMAN	CXCR4_HUMAN
PTPRC_HUMAN	LCK_MOUSE
PTPRC_HUMAN	CD4_HUMAN
PTPRC_HUMAN	FCG3A_HUMAN
FCG3A_HUMAN	KSYK_HUMAN
FCG3A_HUMAN	LCK_HUMAN
VIME_HUMAN	VIME_HUMAN
VIME_HUMAN	TBB5_HUMAN
RSSA_HUMAN	VDAC2_HUMAN
RSSA_HUMAN	IF4A2_HUMAN
LEG1_HUMAN	PTPRC_HUMAN
LEG1_HUMAN	CD4_HUMAN
